id_props,building_status,building_tax_expenses,id_deals,city,class,county,sale_status,portfolio,market,num_buildings,num_floors,num_parking_spaces,occupancy_rate,price_per_sq_ft,price_per_unit,property_type_1,region__c,sale_amount__c,sale_date__c,size_acres,size_sf,size_units,year_built
a0I2A00000XQGTNUA5,,,a0I2A00000XQGTNUA5,City-0435,Class B,County-0159,N,FALSE,Market-0206,1,2,,98,100.93,,Office,West,8550000,3/24/2016,4.894008235,84715,,1979
a0I2A00000XQGTOUA5,Existing,"2016 Tax @ $5.25/sf, 2012 Est Tax @ $3.73/sf; 2016 Ops @ $7.19/sf, 2012 Est Ops @ $8.35/sf",a0I2A00000XQGTOUA5,City-0936,Class A,County-0284,N,FALSE,Market-0106,1,11,767,91,211.72,,Office,Southwest,46300000,7/8/2014,3.335,218680,,1983
a0I2A00000XQGTPUA5,,,a0I2A00000XQGTPUA5,City-0090,,County-0636,N,TRUE,Market-0016,,,,66,,,Industrial,Southwest,,,,22193,,1980
a0I2A00000XQGTQUA5,,,a0I2A00000XQGTQUA5,City-0488,,County-0172,N,FALSE,Market-0059,,,,,53.33,,Land,Southwest,3200000,8/22/2016,,60000,,
a0I2A00000XQGTTUA5,Existing,2016 Tax @ $1.97/sf; 2006 Est Ops @ $0.11/sf,a0I2A00000XQGTTUA5,City-0090,Class B,County-0636,N,TRUE,Market-0016,,1,72,98,,,Industrial,Southwest,,11/22/2016,1.38,20252,,1981
a0I2A00000XQGTUUA5,Existing,2016 Tax @ $0.89/sf,a0I2A00000XQGTUUA5,City-1532,,County-0471,N,FALSE,Market-0171,1,10,426,80,,80736.54,Hotel-Lodging,Southeast,28500000,6/1/2016,9.52,0,353,1989
a0I2A00000XQGTXUA5,Existing,2016 Tax @ $2701.26/Unit; 2005 Ops @ $3129.60/Unit,a0I2A00000XQGTXUA5,City-1195,Class B,County-0385,N,FALSE,Market-0140,1,3,32,98,418.92,286363.64,Multi-Housing,West,12600000,5/12/2017,0.95,30077,44,1959
a0I2A00000XQGTYUA5,Existing,2012 Tax @ $12.50/sf,a0I2A00000XQGTYUA5,City-0725,,County-0624,N,FALSE,Market-0059,,1,34,98,221.33,,Retail,Southwest,116750000,12/18/2014,60.23,527486,,2008
a0I2A00000XQGTZUA5,Existing,"2016 Tax @ $1415.02/Unit, 2000 Est Tax @ $1044.28/Unit; 2000 Est Ops @ $2023.06/Unit",a0I2A00000XQGTZUA5,City-1195,Class C,County-0385,N,FALSE,Market-0140,1,2,24,100,,87500,Multi-Housing,West,1575000,1/12/2001,0.341,0,18,1971
a0I2A00000XQGTaUAP,Existing,2015 Tax @ $2922.55/Unit,a0I2A00000XQGTaUAP,City-1195,Class B,County-0385,N,FALSE,Market-0140,1,2,40,88,,124000,Multi-Housing,West,3100000,5/25/1994,0.4704,0,25,1987
a0I2A00000XQGTbUAP,Existing,2015 Tax @ $1603.14/Unit,a0I2A00000XQGTbUAP,City-1195,Class C,County-0385,N,FALSE,Market-0140,1,2,,,,37500,Multi-Housing,West,600000,1/3/1995,0.266,0,16,1958
a0I2A00000XQGTcUAP,Existing,2014 Tax @ $0.24/sf,a0I2A00000XQGTcUAP,City-1606,Class A,County-0400,N,FALSE,Market-0178,2,1,,0,,,Industrial,Southwest,,,5.25,172752,,2016
a0I2A00000XQGTdUAP,,,a0I2A00000XQGTdUAP,City-1214,,County-0431,N,TRUE,Market-0106,,,,87,,,Retail,Southwest,,,,18173,,2003
a0I2A00000XQGTeUAP,,,a0I2A00000XQGTeUAP,City-0791,Class A,County-0573,N,TRUE,Market-0209,,2,,94,1674.3,263025.21,Multi-Housing,West,156500000,6/5/2015,2.5,93472,595,1963
a0I2A00000XQGTfUAP,,,a0I2A00000XQGTfUAP,City-1438,,County-0218,N,FALSE,Market-0032,,,,100,,,Retail,Northeast,,,,77558,,2005
a0I2A00000XQGTgUAP,Existing,2016 Tax @ $1.11/sf,a0I2A00000XQGTgUAP,City-2268,Class A,County-0385,N,TRUE,Market-0140,,1,50,100,,,Industrial,West,,4/8/2005,4.88,203613,,2000
a0I2A00000XQGTiUAP,Existing,2008 Est Tax @ $1.04/sf,a0I2A00000XQGTiUAP,City-0376,Class B,County-0160,N,FALSE,Market-0047,1,1,125,100,32378.44,,Industrial,Midwest,5900000000,6/1/2015,21.7,182220,,2009
a0I2A00000XQGTkUAP,,,a0I2A00000XQGTkUAP,City-1785,,County-0543,N,TRUE,Market-0199,,,,,,,Industrial,West,,,,,,
a0I2A00000XQGTlUAP,,,a0I2A00000XQGTlUAP,City-1785,,County-0543,N,TRUE,Market-0199,2,1,,91,46.12,,Industrial,West,5094313.24,12/20/2012,3.33,110459,,1991
a0I2A00000XQGTmUAP,Existing,2015 Tax @ $928.32/Unit,a0I2A00000XQGTmUAP,City-1195,Class B,County-0385,N,TRUE,Market-0140,1,2,,98,556.65,238983.05,Multi-Housing,West,14100500,1/25/2017,0.61,25330,59,1963
a0I2A00000XQGTnUAP,,,a0I2A00000XQGTnUAP,City-1618,,County-0010,N,TRUE,Market-0179,,,,100,,,Retail,Mid-Atlantic,,,,860,,2004
a0I2A00000XQGToUAP,Existing,"2015 Tax @ $3.88/sf, 2016 Est Tax @ $4.08/sf",a0I2A00000XQGToUAP,City-1290,Class B,County-0419,N,FALSE,Market-0151,1,2,10,100,,,Retail,Southeast,0,10/17/2016,0.3765,18700,,1980
a0I2A00000XQGTpUAP,Existing,2017 Tax @ $320.79/Unit,a0I2A00000XQGTpUAP,City-1195,Class B,County-0385,N,TRUE,Market-0140,1,3,,70,2532.7,1278000,Multi-Housing,West,25560000,10/31/2016,0.1702,10092,20,1921
a0I2A00000XQGTsUAP,,,a0I2A00000XQGTsUAP,City-1170,,County-0469,N,TRUE,Market-0230,1,5,,93,705.6,,Medical Office Building,Northeast,54239262,11/23/2016,,76870,,1989
a0I2A00000XQGTtUAP,Existing,2012 Tax @ $2.47/sf; 2006 Ops @ $0.25/sf,a0I2A00000XQGTtUAP,City-2158,,County-0119,N,TRUE,Market-0245,2,1,65,100,429.61,,Retail,Mid-Atlantic,6225000,12/2/2015,1.31,14490,,2005
a0I2A00000XQGTuUAP,Existing,2015 Tax @ $3.31/sf,a0I2A00000XQGTuUAP,City-1415,Class A,County-0452,N,FALSE,Market-0165,1,46,,0,986.65,,Office,Northeast,9500000,5/16/2016,0.5739,55744,,2015
a0I2A00000XQGTvUAP,,,a0I2A00000XQGTvUAP,City-0210,Class A,County-0613,Y,FALSE,Market-0032,,,,,50.03,87500,,Northeast,,,,69955,40,
a0I2A00000XQGTwUAP,Existing,"2014 Tax @ $1.95/sf, 2012 Est Tax @ $3.38/sf; 2012 Est Ops @ $5.06/sf",a0I2A00000XQGTwUAP,City-0376,Class B,County-0160,N,TRUE,Market-0047,1,6,,96,113.78,,Office,Midwest,7835000,6/18/2007,1.3476,68862,,1915
a0I2A00000XQGTxUAP,,,a0I2A00000XQGTxUAP,City-1785,Class B,County-0543,N,TRUE,Market-0199,,,,78,,,Industrial,West,,,,57352,,1983
a0I2A00000XQGTyUAP,,,a0I2A00000XQGTyUAP,City-0293,Class A,County-0420,N,FALSE,Market-0032,,2,,100,133.82,152173.91,Multi-Housing,Northeast,7000000,5/2/2013,0.965174466,52309,46,2016
a0I2A00000XQGTzUAP,,,a0I2A00000XQGTzUAP,City-1315,Class B,County-0293,N,TRUE,Market-0153,12,2,,90,91.93,110000,Multi-Housing,Midwest,7920000,2/1/2008,,86150,72,1985
a0I2A00000XQGU2UAP,Existing,2016 Tax @ $3560.12/Unit,a0I2A00000XQGU2UAP,City-1675,Class A,County-0154,N,TRUE,Market-0059,53,2,,93,609.16,651666.67,Multi-Housing,Southwest,234600000,5/31/2016,23.07,385119,360,2010
a0I2A00000XQGU3UAP,Existing,"2016 Tax @ $1614.84/Unit, 2015 Est Tax @ $1750.72/Unit",a0I2A00000XQGU3UAP,City-1140,Class B,County-0185,N,TRUE,Market-0059,25,3,761,95,406.65,413923.27,Multi-Housing,Southwest,167225000,5/27/2015,24.1,411223,404,1994
a0I2A00000XQGU4UAP,,,a0I2A00000XQGU4UAP,City-0845,,County-0047,N,FALSE,Market-0165,,,,97,,,Multi-Housing,Northeast,,,,,184,1964
a0I2A00000XQGU5UAP,Existing,2016 Combined Tax/Ops @ $12.78/sf,a0I2A00000XQGU5UAP,City-1183,Class A,County-0197,N,FALSE,Market-0065,1,6,913,77,219.38,,Office,West,42200000,10/20/2015,13.66,192359,,2001
a0I2A00000XQGU6UAP,Existing,2016 Tax @ $1.24/sf,a0I2A00000XQGU6UAP,City-0936,Class B,County-0284,N,FALSE,Market-0106,,3,209,91,65.99,,Office,Southwest,3500000,5/5/2011,3.11,53037,,1982
a0I2A00000XQGU7UAP,Existing,2015 Tax @ $1719.48/Unit,a0I2A00000XQGU7UAP,City-0070,Class B,County-0624,N,TRUE,Market-0059,12,3,436,97,880.32,674294.35,Multi-Housing,Southwest,167225000,5/27/2015,9.1,189960,248,1986
a0I2A00000XQGU8UAP,,,a0I2A00000XQGU8UAP,City-1644,,County-0550,N,TRUE,Market-0112,,,,,,,Retail,Southeast,,,,26600,,2001
a0I2A00000XQGUCUA5,,,a0I2A00000XQGUCUA5,City-0981,,County-0203,N,TRUE,Market-0112,,,,,,,Self-Storage,Southeast,,,,,709,2006
a0I2A00000XQGUDUA5,,,a0I2A00000XQGUDUA5,City-0981,,County-0203,N,TRUE,Market-0112,,,,,,,Self-Storage,Southeast,,,,,757,2005
a0I2A00000XQGUHUA5,,,a0I2A00000XQGUHUA5,City-1808,,County-0053,N,TRUE,Market-0204,,,,100,,,Medical Office Building,Southwest,,,,14878,,2012
a0I2A00000XQGUIUA5,,,a0I2A00000XQGUIUA5,City-1036,,County-0284,N,TRUE,Market-0106,,,,100,,,Medical Office Building,Southwest,,,,22871,,2010
a0I2A00000XQGUJUA5,Existing,,a0I2A00000XQGUJUA5,City-2052,Class B,County-0185,N,TRUE,Market-0059,,1,62,100,,,Medical Office Building,Southwest,,8/26/2015,1.5422,14076,,2012
a0I2A00000XQGUKUA5,Existing,2013 Tax @ $9.86/sf,a0I2A00000XQGUKUA5,City-1961,,County-0284,N,TRUE,Market-0106,,1,77,81,,,Medical Office Building,Southwest,,,8.91,19957,,2006
a0I2A00000XQGULUA5,Existing,"2011 Tax @ $7.04/sf, 2010 Est Tax @ $2.38/sf; 2010 Est Ops @ $3.12/sf",a0I2A00000XQGULUA5,City-2029,,County-0301,N,TRUE,Market-0232,,1,150,100,,,Retail,Southeast,,,8.5611,75614,,1998
a0I2A00000XQGUMUA5,Existing,2014 Tax @ $5.12/sf,a0I2A00000XQGUMUA5,City-1887,,County-0431,N,TRUE,Market-0106,,1,23,100,,,Medical Office Building,Southwest,,,,19957,,2013
a0I2A00000XQGUNUA5,Existing,2006 Tax @ $0.78/sf,a0I2A00000XQGUNUA5,City-1961,Class B,County-0284,N,TRUE,Market-0106,,1,,68,,,Medical Office Building,Southwest,,,2.5795,12900,,2015
a0I2A00000XQGUOUA5,Existing,2016 Tax @ $2916.14/Unit,a0I2A00000XQGUOUA5,City-2282,Class B,County-0136,N,FALSE,Market-0183,13,3,300,95,204.22,206597.22,Multi-Housing,West,59500000,8/31/2015,16.18,291348,288,2014
a0I2A00000XQGUPUA5,Existing,,a0I2A00000XQGUPUA5,City-0020,Class B,County-0008,N,FALSE,Market-0245,14,4,2000,94,244.17,193008.47,Multi-Housing,Mid-Atlantic,227750000,11/30/2017,31.05,932750,1180,1972
a0I2A00000XQGUQUA5,,,a0I2A00000XQGUQUA5,City-1800,,County-0252,N,FALSE,Market-0112,,1,,97,182.23,,Retail,Southeast,19800000,5/8/2015,,108654,,1977
a0I2A00000XQGURUA5,,,a0I2A00000XQGURUA5,City-1663,Class A,County-0436,N,FALSE,Market-0183,1,4,,95,386.64,211538.46,Multi-Housing,West,5500000,9/4/2015,0.19,14225,26,2014
a0I2A00000XQGUSUA5,Existing,2016 Tax @ $2.96/sf,a0I2A00000XQGUSUA5,City-1262,Class A,County-0154,N,FALSE,Market-0059,,,,100,,,Office,Southwest,,,2.53,19280,,2006
a0I2A00000XQGUTUA5,Existing,2016 Tax @ $3.67/sf,a0I2A00000XQGUTUA5,City-0488,,County-0172,N,FALSE,Market-0059,,1,,100,,,Retail,Southwest,,12/13/2012,0.14,6020,,2009
a0I2A00000XQGUUUA5,Existing,2016 Tax @ $1134.19/Unit; 2006 Ops @ $3051.34/Unit,a0I2A00000XQGUUUA5,City-0802,Class B,County-0172,N,FALSE,Market-0059,10,3,484,97,49.72,46538.46,Multi-Housing,Southwest,12100000,7/26/2013,14.5414,243360,260,1983
a0I2A00000XQGUVUA5,,,a0I2A00000XQGUVUA5,City-1800,,County-0252,N,FALSE,Market-0112,,,,96,204.35,,Retail,Southeast,20400000,12/9/2011,,99829,,1995
a0I2A00000XQGUWUA5,,,a0I2A00000XQGUWUA5,City-0046,,County-0013,N,TRUE,Market-0008,,,,,,,Retail,West,,,,70700,,1973
a0I2A00000XQGUXUA5,,,a0I2A00000XQGUXUA5,City-1805,,County-0560,N,FALSE,Market-0202,16,2,,99,180.87,99137.93,Multi-Housing,West,23000000,7/10/2015,13.2600091,127160,232,1985
a0I2A00000XQGUYUA5,,,a0I2A00000XQGUYUA5,City-0201,Class B,County-0001,N,TRUE,Market-0031,1,1,,100,208.33,,Industrial,West,72290000,6/30/2015,50,347000,,1992
a0I2A00000XQGUbUAP,,,a0I2A00000XQGUbUAP,City-0598,,County-0293,N,TRUE,Market-0153,,,,,,,Office,Midwest,,,,26791,,1986
a0I2A00000XQGUgUAP,Under Construction,2015 Tax @ $171.25/Unit,a0I2A00000XQGUgUAP,City-1073,Class A,County-0471,N,TRUE,Market-0140,1,3,34,0,30.48,32338.31,Seniors Housing,West,6500000,12/17/2014,11.5,213274,201,2015
a0I2A00000XQGUhUAP,,,a0I2A00000XQGUhUAP,City-0070,,County-0624,N,TRUE,Market-0059,3,,,100,,,Other,Southwest,,,4.88,31375,,1993
a0I2A00000XQGUiUAP,Existing,2016 Tax @ $1.63/sf,a0I2A00000XQGUiUAP,City-1582,Class C,County-0218,N,FALSE,Market-0032,,3,300,100,66.99,,Office,Northeast,20000000,5/19/2005,28,298540,,1997
a0I2A00000XQGUjUAP,,,a0I2A00000XQGUjUAP,City-0981,Class A,County-0203,N,FALSE,Market-0112,16,3,3,95,130000,130000,Multi-Housing,Southeast,61620000,5/15/2018,24.19,474,474,2007
a0I2A00000XQGUkUAP,,,a0I2A00000XQGUkUAP,City-1386,Class A,County-0176,N,FALSE,Market-0162,1,5,,0,320.52,228059.07,Multi-Housing,Southeast,54278059,12/17/2014,5,169345,238,2009
a0I2A00000XQGUlUAP,,,a0I2A00000XQGUlUAP,City-1415,,County-0452,N,FALSE,Market-0165,1,,,100,,,Medical Office Building,Northeast,,,,50777,,
a0I2A00000XQGUmUAP,,,a0I2A00000XQGUmUAP,City-1795,Class A,County-0553,N,FALSE,Market-0225,1,7,,90,73.11,96948.36,Multi-Housing,Midwest,20650000,9/29/2016,,282438,213,1889
a0I2A00000XQGUnUAP,Existing,2012 Tax @ $17.16/Unit,a0I2A00000XQGUnUAP,City-0526,Class A,County-0186,N,FALSE,Market-0065,2,5,200,90,,,Multi-Housing,West,,,2.03,207598,191,2013
a0I2A00000XQGUoUAP,Existing,2016 Tax @ $3.71/sf,a0I2A00000XQGUoUAP,City-0605,,County-0562,N,TRUE,Market-0205,1,1,500,100,3120.93,,Retail,West,176416938,6/12/2015,6.29,56527,,1996
a0I2A00000XQGUpUAP,Under Construction,2014 Tax @ $288.56/Unit,a0I2A00000XQGUpUAP,City-0526,Class A,County-0186,N,FALSE,Market-0065,1,7,169,,186.42,46583.85,Land,West,7500000,5/26/2015,0.92,40232,161,2018
a0I2A00000XQGUsUAP,,,a0I2A00000XQGUsUAP,City-1118,Class A,County-0241,N,TRUE,Market-0106,15,3,,95,3612.5,120416.67,Multi-Housing,Southwest,43350000,3/24/2015,19.17959125,12000,360,2008
a0I2A00000XQGUvUAP,Existing,2009 Tax @ $105.12/sf,a0I2A00000XQGUvUAP,City-1710,,County-0343,N,TRUE,Market-0214,1,1,,100,336,,Retail,West,21000000,3/4/2015,5.6703,62500,,1995
a0I2A00000XQGUwUAP,Existing,2014 Tax @ $183.10/Unit,a0I2A00000XQGUwUAP,City-1532,Class A,County-0471,N,FALSE,Market-0171,1,3,400,,233.24,214516.13,Multi-Housing,Southeast,66500000,3/5/2015,4.23,285116,310,2014
a0I2A00000XQGUxUAP,Existing,,a0I2A00000XQGUxUAP,City-0252,Class A,County-0344,N,FALSE,Market-0165,1,,,98,3234.61,2185683.76,Multi-Housing,Northeast,169000000,5/1/2015,0,158118,234,2014
a0I2A00000XQGV0UAP,,,a0I2A00000XQGV0UAP,City-2159,,County-0660,N,TRUE,Market-0193,1,1,,100,173.02,,Retail,West,10363697,3/2/2015,4.7,59899,,1972
a0I2A00000XQGV1UAP,Existing,2016 Tax @ $3.50/sf,a0I2A00000XQGV1UAP,City-1813,,County-0562,N,TRUE,Market-0205,1,1,156,100,32.14,,Retail,West,1850000,12/23/2016,5.13,57560,,2000
a0I2A00000XQGV2UAP,,,a0I2A00000XQGV2UAP,City-1658,,County-0444,N,FALSE,Market-0165,,,,,,,Hotel-Lodging,Northeast,,,,106613,165,2016
a0I2A00000XQGV4UAP,Existing,2016 Tax @ $2430.90/Unit; 2010 Est Ops @ $10378.5/Unit,a0I2A00000XQGV4UAP,City-2029,Class B,County-0301,Y,TRUE,Market-0232,2,4,4,95,1275510.2,1275510.2,Multi-Housing,Southeast,45333333.3,8/11/2018,10.33,196,196,2009
a0I2A00000XQGV5UAP,,,a0I2A00000XQGV5UAP,City-0376,Class A,County-0160,N,FALSE,Market-0047,1,3,,,,,Multi-Housing,Midwest,,,,380789,298,2017
a0I2A00000XQGVAUA5,Existing,2016 Tax @ $1159.92/Unit,a0I2A00000XQGVAUA5,City-0655,Class A,County-0594,N,TRUE,Market-0214,2,5,176,95,125.29,87809.92,Multi-Housing,West,10625000,4/15/2015,2.35998621,84804,121,1990
a0I2A00000XQGVCUA5,,,a0I2A00000XQGVCUA5,City-0285,Class B,County-0383,N,FALSE,Market-0138,9,3,,,,,Multi-Housing,Southeast,,,9.82,198126,216,2005
a0I2A00000XQGVDUA5,Existing,2015 Tax @ $2561.53/Unit,a0I2A00000XQGVDUA5,City-1195,Class B,County-0385,N,TRUE,Market-0140,1,2,,100,235.91,191666.67,Multi-Housing,West,1725000,4/10/2009,0.161,7312,9,1961
a0I2A00000XQGVFUA5,,,a0I2A00000XQGVFUA5,City-2201,,County-0125,N,TRUE,Market-0253,1,1,,100,168.58,,Retail,West,7186375,2/17/2015,2.610009167,42630,,1990
a0I2A00000XQGVGUA5,,,a0I2A00000XQGVGUA5,City-0213,,County-0139,N,TRUE,Market-0132,1,1,,100,125.21,,Retail,West,5979086,6/8/2015,3.42001835,47753,,1989
a0I2A00000XQGVHUA5,,,a0I2A00000XQGVHUA5,City-0960,,County-0403,N,FALSE,Market-0109,,,,,,,Self-Storage,Midwest,,,,,788,
a0I2A00000XQGVIUA5,Existing,,a0I2A00000XQGVIUA5,City-0173,,County-0010,N,FALSE,Market-0179,1,1,,0,205.33,513333.33,Retail,Mid-Atlantic,1540000,8/13/2015,1.08,7500,3,2015
a0I2A00000XQGVJUA5,,,a0I2A00000XQGVJUA5,City-2330,,County-0706,N,TRUE,Market-0254,,,,100,,,Retail,Mid-Atlantic,,,,35549,,1990
a0I2A00000XQGVKUA5,Existing,2016 Tax @ $894.75/Unit,a0I2A00000XQGVKUA5,City-0828,Class B,County-0436,N,FALSE,Market-0183,8,2,110,92,120.48,116666.67,Multi-Housing,West,10500000,6/1/2016,4.04,87150,90,1979
a0I2A00000XQGVLUA5,,,a0I2A00000XQGVLUA5,City-0729,Class B,County-0367,N,TRUE,Market-0099,1,1,,100,26.62,12424375,Industrial,Southeast,12424375,12/31/2015,46.72,466697,1,1986
a0I2A00000XQGVMUA5,,,a0I2A00000XQGVMUA5,City-0724,Class B,County-0011,N,TRUE,Market-0088,1,1,,100,32.25,13719795,Industrial,Midwest,13719795,12/31/2015,44.8,425420,1,1995
a0I2A00000XQGVNUA5,,,a0I2A00000XQGVNUA5,City-1808,,County-0053,N,FALSE,Market-0204,1,1,,,408.52,139285.71,Medical Office Building,Southwest,19500000,2/2/2015,4.739990789,47733,140,2012
a0I2A00000XQGVOUA5,Existing,2016 Tax @ $461.98/Unit,a0I2A00000XQGVOUA5,City-1813,Class C,County-0562,N,TRUE,Market-0205,1,3,34,,33.77,26666.67,Multi-Housing,West,800000,6/22/1993,0.482,23688,30,1983
a0I2A00000XQGVPUA5,Existing,2016 Tax @ $5.50/sf,a0I2A00000XQGVPUA5,City-0488,,County-0172,N,FALSE,Market-0059,1,11,276,80,252.74,201550.39,Hotel-Lodging,Southwest,52000000,6/11/2015,2.975,205745,258,2002
a0I2A00000XQGVQUA5,Existing,2013 Est Tax @ $3.64/sf; 2013 Est Ops @ $2.04/sf,a0I2A00000XQGVQUA5,City-1575,Class B,County-0435,Y,TRUE,Market-0165,,3,,51,240,,Office,Northeast,,,4.011,50000,,1975
a0I2A00000XQGVUUA5,Existing,"2016 Tax @ $358.47/Unit, 2005 Est Tax @ $5034.80/Unit",a0I2A00000XQGVUUA5,City-1096,Class A,County-0462,Y,FALSE,Market-0165,12,3,120,,,,Multi-Housing,Northeast,,,19.32,368019,288,2001
a0I2A00000XQGVVUA5,,,a0I2A00000XQGVVUA5,City-1195,,County-0385,N,FALSE,Market-0140,2,1,,,220.33,,Multi-Housing,West,18100000,10/15/2014,0.52,82149,,1923
a0I2A00000XQGVWUA5,,,a0I2A00000XQGVWUA5,City-1302,,County-0450,N,FALSE,Market-0165,,,,94,,,Retail,Northeast,,,96,377123,,2007
a0I2A00000XQGVXUA5,,,a0I2A00000XQGVXUA5,City-1201,Class B,County-0420,N,FALSE,Market-0032,,,,,,86805.56,Multi-Housing,Northeast,37500000,3/8/2005,,,432,
a0I2A00000XQGVZUA5,,,a0I2A00000XQGVZUA5,City-1840,,County-0576,N,FALSE,Market-0210,,,,100,,,Retail,Southwest,,,,17040,,1988
a0I2A00000XQGVeUAP,,,a0I2A00000XQGVeUAP,City-0936,,County-0284,N,TRUE,Market-0106,4,,,72,369.26,,Medical Office Building,Southwest,225000000,6/29/2015,,609330,,
a0I2A00000XQGVfUAP,Existing,2012 Tax @ $3.90/sf,a0I2A00000XQGVfUAP,City-1887,Class A,County-0431,N,TRUE,Market-0106,3,6,425,91,907.25,,Medical Office Building,Southwest,225000000,6/29/2015,22.296,248002,,1984
a0I2A00000XQGVgUAP,Existing,"2016 Tax @ $0.82/sf, 2011 Est Tax @ $0.76/sf; 2011 Est Ops @ $3.08/sf",a0I2A00000XQGVgUAP,City-0488,Class B,County-0172,N,FALSE,Market-0059,,1,40,100,119.55,,Land,Southwest,2391000,2/24/2016,1.8,20000,,1989
a0I2A00000XQGVjUAP,,,a0I2A00000XQGVjUAP,City-1890,,County-0261,N,FALSE,Market-0217,14,,,100,48.55,,Industrial,Southwest,15130000,12/15/2015,65.5,311650,,1979
a0I2A00000XQGVoUAP,Existing,2016 Tax @ $437.27/Unit,a0I2A00000XQGVoUAP,City-0936,Class C,County-0284,N,FALSE,Market-0106,18,2,400,,,,Multi-Housing,Southwest,,,11.073,278472,356,1971
a0I2A00000XQGVpUAP,,,a0I2A00000XQGVpUAP,City-0812,Class B,County-0444,N,FALSE,Market-0165,1,3,,100,268.04,10000000,Office,Northeast,10000000,7/23/2015,0.52,37308,1,1970
a0I2A00000XQGVqUAP,Demolished,2012 Tax @ $6.25/sf,a0I2A00000XQGVqUAP,City-0090,Class C,County-0636,N,FALSE,Market-0016,1,2,350,0,830.4,,Office,Southwest,43517000,12/23/2016,4.4835,52405,,1984
a0I2A00000XQGVtUAP,Existing,2015 Tax @ $0.72/sf,a0I2A00000XQGVtUAP,City-1622,Class A,County-0292,N,FALSE,Market-0109,1,1,208,100,57.98,3600000,Industrial,Midwest,14400000,3/25/2015,13,248358,4,2006
a0I2A00000XQGVuUAP,Existing,"2016 Tax @ $699.62/Unit, 2012 Est Tax @ $1250.72/Unit; 2015 Ops @ $4091.24/Unit, 2012 Est Ops @ $396",a0I2A00000XQGVuUAP,City-2282,Class A,County-0136,N,FALSE,Market-0183,12,3,237,91,239.07,230839.42,Multi-Housing,West,63250000,10/27/2016,6.83,264564,274,2007
a0I2A00000XQGVvUAP,Existing,2015 Tax @ $1521.00/Unit; 2006 Ops @ $2285.47/Unit,a0I2A00000XQGVvUAP,City-0936,Class A,County-0284,N,TRUE,Market-0106,14,4,,95,192.61,191505.52,Multi-Housing,Southwest,69325000,3/24/2015,9.2,359931,362,1994
a0I2A00000XQGVwUAP,Existing,2016 Tax @ $3047.42/Unit; 2005 Combined Est Tax/Ops @ $4637.87/Unit,a0I2A00000XQGVwUAP,City-0936,Class A,County-0284,N,TRUE,Market-0106,12,3,320,93,2278.11,2407407.41,Multi-Housing,Southwest,650000000,3/24/2015,11.48,285324,270,2003
a0I2A00000XQGVxUAP,Existing,2015 Tax @ $782.63/Unit,a0I2A00000XQGVxUAP,City-1195,Class C,County-0385,N,FALSE,Market-0140,6,3,400,,55.69,42857.14,Multi-Housing,West,9300000,5/31/1996,4.31,167007,217,1971
a0I2A00000XQGVyUAP,Existing,2016 Tax @ $1458.48/Unit,a0I2A00000XQGVyUAP,City-1768,Class A,County-0239,N,TRUE,Market-0013,29,4,1398,95,869.19,973053.89,Multi-Housing,Southeast,650000000,3/24/2015,56.073,747822,668,1995
a0I2A00000XQGVzUAP,Existing,2015 Tax @ $1.37/sf,a0I2A00000XQGVzUAP,City-2135,Class C,County-0385,N,FALSE,Market-0140,,1,40,100,1087.5,,Industrial,West,108750000,2/9/2017,1.4053,100000,,1941
a0I2A00000XQGW0UAP,,,a0I2A00000XQGW0UAP,City-1622,,County-0691,N,FALSE,Market-0163,,,,,,,Land,Northeast,,,137,,,
a0I2A00000XQGW1UAP,Under Construction,2013 Tax @ $1205.05/Unit,a0I2A00000XQGW1UAP,City-2175,Class A,County-0192,N,FALSE,Market-0245,1,7,,,55.17,43478.26,Multi-Housing,Mid-Atlantic,4000000,8/27/2015,0.318,72507,92,2016
a0I2A00000XQGW2UAP,Existing,"2016 Tax @ $1.17/sf, 2014 Est Tax @ $0.79/sf",a0I2A00000XQGW2UAP,City-1094,Class B,County-0501,N,FALSE,Market-0032,,,13,100,387.5,,Industrial,Northeast,15500000,5/2/2014,21.79,40000,,2004
a0I2A00000XQGW3UAP,Existing,2015 Tax @ $885.78/Unit,a0I2A00000XQGW3UAP,City-1434,Class A,County-0269,N,TRUE,Market-0013,13,4,700,96,1703.56,1701570.68,Multi-Housing,Southeast,650000000,3/24/2015,29.668,381553,382,2000
a0I2A00000XQGW4UAP,Existing,,a0I2A00000XQGW4UAP,City-0081,Class A,County-0183,N,TRUE,Market-0013,6,1,230,97,3466.67,2954545.45,Multi-Housing,Southeast,650000000,3/24/2015,7.631,187500,220,1989
a0I2A00000XQGW5UAP,,,a0I2A00000XQGW5UAP,City-0960,Class B,County-0403,N,FALSE,Market-0109,2,2,,63,,,Office,Midwest,,,2.4,73742,,1986
a0I2A00000XQGW6UAP,,,a0I2A00000XQGW6UAP,City-0871,Class C,County-0287,N,FALSE,Market-0101,2,5,,64,,,Office,Northeast,,,6,54476,,1986
a0I2A00000XQGW7UAP,,,a0I2A00000XQGW7UAP,City-1510,,County-0464,N,FALSE,Market-0169,,,,100,,,Multi-Housing,Southwest,,,,422538,468,2013
